timestamp,raw_log_preview,extracted_asset,extracted_threat,likelihood_score,impact_score,risk_score,confidence,requires_review,human_override
2026-05-01T23:22:13.468117,GET http://localhost:8080/tienda1/index.jsp HTTP/1.1,test_environment,brute_force,3,2,6,0.292,True,
2026-05-01T23:22:13.752972,GET http://localhost:8080/tienda1/publico/anadir.jsp?id=3&nombre=Vino+Rioja&precio=100&cantidad=55&B,test_environment,privilege_escalation,4,2,8,0.298,True,
2026-05-01T23:22:14.029482,POST http://localhost:8080/tienda1/publico/anadir.jsp HTTP/1.1 id=3&nombre=Vino+Rioja&precio=100&can,test_environment,xss,3,2,6,0.315,True,
2026-05-01T23:22:14.306446,GET http://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=choong&pwd=d1se3ci%F3n&re,test_environment,info_leak,2,2,4,0.409,True,
2026-05-01T23:22:14.578419,POST http://localhost:8080/tienda1/publico/autenticar.jsp HTTP/1.1 modo=entrar&login=choong&pwd=d1se,test_environment,info_leak,2,2,4,0.411,True,
2026-05-01T23:22:14.798961,GET http://localhost:8080/tienda1/publico/caracteristicas.jsp?id=2 HTTP/1.1,test_environment,privilege_escalation,4,2,8,0.314,True,
2026-05-01T23:22:15.008149,POST http://localhost:8080/tienda1/publico/caracteristicas.jsp HTTP/1.1 id=2,test_environment,brute_force,3,2,6,0.317,True,
2026-05-01T23:22:15.210326,GET http://localhost:8080/tienda1/publico/carrito.jsp HTTP/1.1,test_environment,privilege_escalation,4,2,8,0.271,True,
2026-05-01T23:22:15.430306,GET http://localhost:8080/tienda1/publico/entrar.jsp?errorMsg=Credenciales+incorrectas HTTP/1.1,test_environment,info_leak,2,2,4,0.302,True,
2026-05-01T23:22:15.644794,POST http://localhost:8080/tienda1/publico/entrar.jsp HTTP/1.1 errorMsg=Credenciales+incorrectas,test_environment,malicious_file,3,2,6,0.274,True,
2026-05-01T23:22:15.873035,GET http://localhost:8080/tienda1/publico/miembros.jsp HTTP/1.1,test_environment,privilege_escalation,4,2,8,0.263,True,
2026-05-01T23:22:16.098505,GET http://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precio=2672&B1=Pasar+por+caja HTTP,test_environment,xss,3,2,6,0.267,True,
2026-05-01T23:22:16.300696,POST http://localhost:8080/tienda1/publico/pagar.jsp HTTP/1.1 modo=insertar&precio=2672&B1=Pasar+por,test_environment,xss,3,2,6,0.291,True,
2026-05-01T23:22:16.500177,GET http://localhost:8080/tienda1/publico/productos.jsp HTTP/1.1,public_web_server,brute_force,3,5,15,0.26,True,
2026-05-01T23:22:16.994986,GET http://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=cen&password=40a5E&nombre,test_environment,xss,3,2,6,0.369,True,
2026-05-01T23:22:17.476293,POST http://localhost:8080/tienda1/publico/registro.jsp HTTP/1.1 modo=registro&login=cen&password=40,developer_workstation,privilege_escalation,4,3,12,0.282,True,
2026-05-01T23:22:17.676078,GET http://localhost:8080/tienda1/publico/vaciar.jsp?B2=Vaciar+carrito HTTP/1.1,public_web_server,brute_force,3,5,15,0.244,True,
2026-05-01T23:22:17.875260,POST http://localhost:8080/tienda1/publico/vaciar.jsp HTTP/1.1 B2=Vaciar+carrito,test_environment,info_leak,2,2,4,0.275,True,
2026-05-01T23:22:18.072124,GET http://localhost:8080/tienda1/global/creditos.jsp HTTP/1.1,test_environment,privilege_escalation,4,2,8,0.343,True,
2026-05-01T23:22:18.265920,GET http://localhost:8080/tienda1/global/menum.jsp HTTP/1.1,test_environment,privilege_escalation,4,2,8,0.314,True,
2026-05-01T23:22:18.464918,GET http://localhost:8080/tienda1/global/titulo.jsp HTTP/1.1,test_environment,brute_force,3,2,6,0.298,True,
2026-05-01T23:22:18.668190,GET http://localhost:8080/tienda1/global/estilos.css HTTP/1.1,test_environment,brute_force,3,2,6,0.302,True,
2026-05-01T23:22:18.866508,GET http://localhost:8080/tienda1/miembros/imagenes/castro.jpg HTTP/1.1,test_environment,xss,3,2,6,0.322,True,
2026-05-01T23:22:19.060975,GET http://localhost:8080/tienda1/miembros/imagenes/ogono.jpg HTTP/1.1,test_environment,xss,3,2,6,0.299,True,
2026-05-01T23:22:19.260042,GET http://localhost:8080/tienda1/miembros/imagenes/zarauz.jpg HTTP/1.1,test_environment,xss,3,2,6,0.288,True,
2026-05-01T23:22:19.472097,GET http://localhost:8080/tienda1/miembros/index.jsp HTTP/1.1,test_environment,brute_force,3,2,6,0.302,True,
2026-05-01T23:22:19.936878,GET http://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=de_la&password=roder%F3n&n,developer_workstation,xss,3,3,9,0.228,True,
2026-05-01T23:22:20.404469,POST http://localhost:8080/tienda1/miembros/editar.jsp HTTP/1.1 modo=registro&login=de_la&password=r,developer_workstation,xss,3,3,9,0.252,True,
2026-05-01T23:22:20.621361,GET http://localhost:8080/tienda1/miembros/fotos.jsp HTTP/1.1,test_environment,info_leak,2,2,4,0.31,True,
2026-05-01T23:22:20.835167,GET http://localhost:8080/tienda1/miembros/salir.jsp HTTP/1.1,test_environment,info_leak,2,2,4,0.29,True,
2026-05-01T23:22:21.054379,GET http://localhost:8080/tienda1/imagenes/1.gif HTTP/1.1,test_environment,privilege_escalation,4,2,8,0.293,True,
2026-05-01T23:22:21.267959,GET http://localhost:8080/tienda1/imagenes/2.gif HTTP/1.1,test_environment,privilege_escalation,4,2,8,0.297,True,
2026-05-01T23:22:21.491228,GET http://localhost:8080/tienda1/imagenes/3.gif HTTP/1.1,test_environment,privilege_escalation,4,2,8,0.298,True,
2026-05-01T23:22:21.692435,GET http://localhost:8080/tienda1/imagenes/cmenbul.gif HTTP/1.1,test_environment,xss,3,2,6,0.326,True,
2026-05-01T23:22:21.890832,GET http://localhost:8080/tienda1/imagenes/logo.gif HTTP/1.1,test_environment,privilege_escalation,4,2,8,0.301,True,
2026-05-01T23:22:22.086895,GET http://localhost:8080/tienda1/imagenes/nuestratierra.jpg HTTP/1.1,test_environment,brute_force,3,2,6,0.312,True,
2026-05-01T23:22:22.280885,GET http://localhost:8080/tienda1/index.jsp HTTP/1.1,test_environment,brute_force,3,2,6,0.292,True,
2026-05-01T23:22:22.555977,GET http://localhost:8080/tienda1/publico/anadir.jsp?id=3&nombre=Queso+Manchego&precio=100&cantidad=,test_environment,privilege_escalation,4,2,8,0.287,True,
2026-05-01T23:22:22.832993,POST http://localhost:8080/tienda1/publico/anadir.jsp HTTP/1.1 id=3&nombre=Queso+Manchego&precio=100,test_environment,xss,3,2,6,0.332,True,
2026-05-01T23:22:23.100675,GET http://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=magrath&pwd=1an0re%E15354,test_environment,info_leak,2,2,4,0.432,True,
2026-05-01T23:22:23.372784,POST http://localhost:8080/tienda1/publico/autenticar.jsp HTTP/1.1 modo=entrar&login=magrath&pwd=1an,test_environment,info_leak,2,2,4,0.428,True,
2026-05-01T23:22:23.585734,GET http://localhost:8080/tienda1/publico/caracteristicas.jsp?id=1 HTTP/1.1,test_environment,privilege_escalation,4,2,8,0.308,True,
2026-05-01T23:22:23.794862,POST http://localhost:8080/tienda1/publico/caracteristicas.jsp HTTP/1.1 id=1,test_environment,info_leak,2,2,4,0.324,True,
2026-05-01T23:22:24.019224,GET http://localhost:8080/tienda1/publico/carrito.jsp HTTP/1.1,test_environment,privilege_escalation,4,2,8,0.271,True,
2026-05-01T23:22:24.232012,GET http://localhost:8080/tienda1/publico/entrar.jsp?errorMsg=Credenciales+incorrectas HTTP/1.1,test_environment,info_leak,2,2,4,0.302,True,
2026-05-01T23:22:24.431657,POST http://localhost:8080/tienda1/publico/entrar.jsp HTTP/1.1 errorMsg=Credenciales+incorrectas,test_environment,malicious_file,3,2,6,0.274,True,
2026-05-01T23:22:24.628749,GET http://localhost:8080/tienda1/publico/miembros.jsp HTTP/1.1,test_environment,privilege_escalation,4,2,8,0.263,True,
2026-05-01T23:22:24.834631,GET http://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precio=958&B1=Pasar+por+caja HTTP/,test_environment,xss,3,2,6,0.272,True,
2026-05-01T23:22:25.040893,POST http://localhost:8080/tienda1/publico/pagar.jsp HTTP/1.1 modo=insertar&precio=958&B1=Pasar+por+,test_environment,xss,3,2,6,0.301,True,
2026-05-01T23:22:25.235853,GET http://localhost:8080/tienda1/publico/productos.jsp HTTP/1.1,public_web_server,brute_force,3,5,15,0.26,True,
2026-05-01T23:22:25.710076,GET http://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=francois&password=patay&n,developer_workstation,privilege_escalation,4,3,12,0.323,True,
2026-05-01T23:22:26.186202,POST http://localhost:8080/tienda1/publico/registro.jsp HTTP/1.1 modo=registro&login=francois&passwo,developer_workstation,xss,3,3,9,0.241,True,
2026-05-01T23:22:26.381335,GET http://localhost:8080/tienda1/publico/vaciar.jsp?B2=Vaciar+carrito HTTP/1.1,public_web_server,brute_force,3,5,15,0.244,True,
2026-05-01T23:22:26.579849,POST http://localhost:8080/tienda1/publico/vaciar.jsp HTTP/1.1 B2=Vaciar+carrito,test_environment,info_leak,2,2,4,0.275,True,
2026-05-01T23:22:26.789637,GET http://localhost:8080/tienda1/global/creditos.jsp HTTP/1.1,test_environment,privilege_escalation,4,2,8,0.343,True,
2026-05-01T23:22:27.014111,GET http://localhost:8080/tienda1/global/menum.jsp HTTP/1.1,test_environment,privilege_escalation,4,2,8,0.314,True,
2026-05-01T23:22:27.215092,GET http://localhost:8080/tienda1/global/titulo.jsp HTTP/1.1,test_environment,brute_force,3,2,6,0.298,True,
2026-05-01T23:22:27.413095,GET http://localhost:8080/tienda1/global/estilos.css HTTP/1.1,test_environment,brute_force,3,2,6,0.302,True,
2026-05-01T23:22:27.610872,GET http://localhost:8080/tienda1/miembros/imagenes/castro.jpg HTTP/1.1,test_environment,xss,3,2,6,0.322,True,
2026-05-01T23:22:27.806906,GET http://localhost:8080/tienda1/miembros/imagenes/ogono.jpg HTTP/1.1,test_environment,xss,3,2,6,0.299,True,
2026-05-01T23:22:28.004158,GET http://localhost:8080/tienda1/miembros/imagenes/zarauz.jpg HTTP/1.1,test_environment,xss,3,2,6,0.288,True,
2026-05-01T23:22:28.200042,GET http://localhost:8080/tienda1/miembros/index.jsp HTTP/1.1,test_environment,brute_force,3,2,6,0.302,True,
2026-05-01T23:22:28.680377,GET http://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=misczak&password=prestamen,developer_workstation,xss,3,3,9,0.325,True,
2026-05-01T23:22:29.154175,POST http://localhost:8080/tienda1/miembros/editar.jsp HTTP/1.1 modo=registro&login=misczak&password,developer_workstation,xss,3,3,9,0.305,True,
2026-05-01T23:22:29.347903,GET http://localhost:8080/tienda1/miembros/fotos.jsp HTTP/1.1,test_environment,info_leak,2,2,4,0.31,True,
2026-05-01T23:22:29.544022,GET http://localhost:8080/tienda1/miembros/salir.jsp HTTP/1.1,test_environment,info_leak,2,2,4,0.29,True,
2026-05-01T23:22:29.740158,GET http://localhost:8080/tienda1/imagenes/1.gif HTTP/1.1,test_environment,privilege_escalation,4,2,8,0.293,True,
2026-05-01T23:22:29.928117,GET http://localhost:8080/tienda1/imagenes/2.gif HTTP/1.1,test_environment,privilege_escalation,4,2,8,0.297,True,
2026-05-01T23:22:30.124104,GET http://localhost:8080/tienda1/imagenes/3.gif HTTP/1.1,test_environment,privilege_escalation,4,2,8,0.298,True,
2026-05-01T23:22:30.323417,GET http://localhost:8080/tienda1/imagenes/cmenbul.gif HTTP/1.1,test_environment,xss,3,2,6,0.326,True,
2026-05-01T23:22:30.513058,GET http://localhost:8080/tienda1/imagenes/logo.gif HTTP/1.1,test_environment,privilege_escalation,4,2,8,0.301,True,
2026-05-01T23:22:30.717015,GET http://localhost:8080/tienda1/imagenes/nuestratierra.jpg HTTP/1.1,test_environment,brute_force,3,2,6,0.312,True,
2026-05-01T23:22:30.912543,GET http://localhost:8080/tienda1/index.jsp HTTP/1.1,test_environment,brute_force,3,2,6,0.292,True,
2026-05-01T23:22:31.178790,GET http://localhost:8080/tienda1/publico/anadir.jsp?id=1&nombre=Queso+Manchego&precio=39&cantidad=8,test_environment,xss,3,2,6,0.293,True,
2026-05-01T23:22:31.442054,POST http://localhost:8080/tienda1/publico/anadir.jsp HTTP/1.1 id=1&nombre=Queso+Manchego&precio=39&,test_environment,xss,3,2,6,0.337,True,
2026-05-01T23:22:31.708553,GET http://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=quinn&pwd=incisivo&rememb,test_environment,info_leak,2,2,4,0.408,True,
